Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,6/19/2025,Kenneth Hillan,ACWO,AE,9-12,38.016366,-122.6988044
Incidental,4/17/2022,Nancy Hanson,RWBL,AE,9-23,38.01860912,-122.6775088
Incidental,5/1/2022,Nancy Hanson,WEBL,AE,9-23,38.01973392,-122.674703
Incidental,4/21/2021,Susan Kelly,WEBL,AE,12-24,38.02002,-122.52422
Incidental,5/11/0023,Susan Kelly,ACWO,AE,12-22,38.021306,-122.525839
Incidental,6/21/2021,Patricia DiLuzio,MAWR,AE,12-22,38.02859,-122.516712
Incidental,4/8/2021,Susan Kelly,CANG,AE,12-22,38.03034722,-122.5103083
Incidental,4/11/2024,Lisa Hug (MCBBA2 training),BLPH,AE,12-21,38.03071,-122.55156
Incidental,5/13/2025,Kenneth Hillan,TRES,AE,9-10,38.0310015,-122.703792
Incidental,4/4/2022,Patricia Diluzio,CORA,AE,12-22,38.03133,-122.50368
Incidental,4/11/2024,Lisa Hug (MCBBA training),RTHA,AE,12-21,38.0324,-122.55531
Incidental,4/2/2022,Patricia Diluzio,BLPH,AE,9-9,38.04026,-122.7463
Incidental,5/6/2022,Nancy Hanson,WEBL,AE,9-7,38.04333516,-122.746404
Incidental,4/2/2022,Patricia Diluzio,BUSH,AE,9-7,38.04376,-122.74816
Incidental,4/23/2021,Nancy Hanson,WEWV,AE,9-7,38.04391464,-122.7484815
Incidental,6/3/2022,Nancy Hanson,WEWP,AE,9-7,38.04415175,-122.7491793
Incidental,5/13/2022,Nancy Hanson,HOFI,AE,9-7,38.04416454,-122.7485248
Incidental,4/16/2021,Nancy Hanson,AMRO,AE,9-7,38.04418771,-122.7490226
Incidental,5/13/2022,Nancy Hanson,OSFL,AE,9-7,38.04431399,-122.7491048
Incidental,6/3/2022,Nancy Hanson,ALHU,AE,9-7,38.04435351,-122.7491602
Incidental,5/12/2022,Dave Hudson,CALT,AE,12-19,38.04688,-122.54425
Incidental,6/28/2022,Nancy Hanson,TRES,AE,6-7,38.04949185,-122.8696295
Incidental,7/3/2021,Bob Battagin,VGSW,AE,6-20,38.050147,-122.760241
Incidental,5/19/2024,David Hudson,RTHA,AE,12-20,38.05103,-122.51185
Incidental,4/23/2025,Ron Brown,WTKI,AE,12-20,38.05336,-122.51467
Incidental,6/5/2023,Susan Kelly,MODO,AE,12-19,38.06012,-122.54473
Incidental,4/10/2022,David Sexton,AMAV,AE,12-18,38.0659,-122.521
Incidental,2/27/2022,David Sexton,BAEA,AE,12-18,38.067,-122.4984
Incidental,5/5/2021,David Sexton,WEBL,AE,12-17,38.068715,-122.543607
